Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"1JnfbQerGjFHVq28945y1bhoUHpn6vKM9vBalance:8,000 BTC ($660,117,109) Ins:62 Outs:0",1JnfbQer,8000.0,660117109.0,0.04033,2020-09-14 21:19:34+00:00,2024-12-27 02:17:03+00:00,62,,,0,1638,73,,Legacy,62,,1638,3 years - 5 years
"15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RXwallet: 559Balance:7,941 BTC ($655,254,199) Ins:118 Outs:60",15Z5YJaa,7941.0,655254199.0,0.04004,2010-04-10 16:02:35+00:00,2025-01-28 02:55:56+00:00,118,2010-04-10 18:15:16+00:00,2010-10-15 06:22:58+00:00,60,5448,41,5260.0,Legacy,58,5219.0,5260,+10 years
"3PdJMuuCu6w3aZK6gT4J43n2djWUbxTWcH 7d:+7886 BTC / 30d:+7886 BTCBalance:7,886 BTC ($650,696,698) Ins:1 Outs:0",3PdJMuuC,7886.0,650696698.0,0.03976,2025-03-07 17:04:46+00:00,2025-03-07 17:04:46+00:00,1,,,0,3,3,,SegWit,1,,3,1 day - 1 week
"1B4U28Yc1JmSQbpzzSfavEskTPMvBRphyDBalance:7,881 BTC ($650,282,928) Ins:57 Outs:0",1B4U28Yc,7881.0,650282928.0,0.03973,2020-11-02 22:43:16+00:00,2024-12-27 03:49:45+00:00,57,,,0,1589,73,,Legacy,57,,1589,3 years - 5 years
"14vbdGfYS7UKMvc4334UZDvTMPFA2G7zCBBalance:7,743 BTC ($638,926,795) Ins:68 Outs:0",14vbdGfY,7743.0,638926795.0,0.03904,2020-11-26 21:50:44+00:00,2024-12-27 03:49:45+00:00,68,,,0,1565,73,,Legacy,68,,1565,3 years - 5 years
"1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGwBalance:7,743 BTC ($638,926,795) Ins:79 Outs:0",1K8QG4fu,7743.0,638926795.0,0.03904,2020-11-30 17:53:04+00:00,2024-12-27 03:49:45+00:00,79,,,0,1561,73,,Legacy,79,,1561,3 years - 5 years
"18h3ed4gr53maxrckPZjfFD5Rvy8cSJAjh 7d:+7662 BTC / 30d:+7662 BTCBalance:7,662 BTC ($632,243,859) Ins:1 Outs:0",18h3ed4g,7662.0,632243859.0,0.03863,2025-03-04 21:30:16+00:00,2025-03-04 21:30:16+00:00,1,,,0,6,6,,Legacy,1,,6,1 day - 1 week
"1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5Balance:7,626 BTC ($629,249,228) Ins:86 Outs:0",1JKDzFHc,7626.0,629249228.0,0.03845,2020-12-04 20:50:37+00:00,2024-12-27 11:13:08+00:00,86,,,0,1557,73,,Legacy,86,,1557,3 years - 5 years
"1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8MBalance:7,626 BTC ($629,249,228) Ins:86 Outs:0",1DwSAnZw,7626.0,629249228.0,0.03845,2020-12-01 18:17:01+00:00,2024-12-27 04:59:09+00:00,86,,,0,1560,73,,Legacy,86,,1560,3 years - 5 years
"1JECFWTZsRw65y65DEVR2djXv2KMYfuo7ABalance:7,626 BTC ($629,249,228) Ins:88 Outs:0",1JECFWTZ,7626.0,629249228.0,0.03845,2020-12-12 11:35:00+00:00,2024-12-27 11:13:08+00:00,88,,,0,1549,73,,Legacy,88,,1549,3 years - 5 years
"1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRnBalance:7,626 BTC ($629,249,227) Ins:132 Outs:0",1Mt6STNG,7626.0,629249227.0,0.03845,2020-12-15 18:44:52+00:00,2024-12-27 11:13:08+00:00,132,,,0,1546,73,,Legacy,132,,1546,3 years - 5 years
"1361wC48gW19mKAJmAkdXScLZKYdXgViS9Balance:7,626 BTC ($629,249,227) Ins:130 Outs:0",1361wC48,7626.0,629249227.0,0.03845,2020-12-16 16:48:42+00:00,2022-05-04 06:30:39+00:00,130,,,0,1545,1041,,Legacy,130,,1545,3 years - 5 years
"1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdpBalance:7,519 BTC ($620,459,321) Ins:128 Outs:0",1M14kQL3,7519.0,620459321.0,0.03791,2020-12-17 04:25:55+00:00,2025-01-28 01:14:50+00:00,128,,,0,1544,41,,Legacy,128,,1544,3 years - 5 years
"bc1qk2q9ptkvfrtt3769hh85zvq88jyrulk6zgys2hBalance:7,500 BTC ($618,876,194) Ins:12 Outs:0",bc1qk2q9,7500.0,618876194.0,0.03781,2021-07-27 13:47:45+00:00,2025-01-19 02:35:01+00:00,12,,,0,1322,50,,Bech32,12,,1322,3 years - 5 years
"3JzJtHrWgKswmsWB4owpvXFw47bU2d1GQcBalance:7,500 BTC ($618,859,791) Ins:10 Outs:0",3JzJtHrW,7500.0,618859791.0,0.03781,2024-06-07 17:50:31+00:00,2025-02-27 03:17:22+00:00,10,,,0,276,11,,SegWit,10,,276,6 months - 12 months
"1BdXs6VndkN2Kr4D5YAiDmuWuEk3V2qC4cBalance:7,499 BTC ($618,777,276) Ins:12 Outs:0",1BdXs6Vn,7499.0,618777276.0,0.03781,2023-09-28 20:57:31+00:00,2025-01-28 07:26:42+00:00,12,,,0,529,41,,Legacy,12,,529,1 year - 2 years
"bc1qvf35autwy0knhh3sj7suupmw3w94r4r9c2ry5z 7d:+7488 BTC / 30d:+7488 BTCBalance:7,488 BTC ($617,894,721) Ins:6 Outs:2",bc1qvf35,7488.0,617894721.0,0.03775,2025-03-07 10:49:21+00:00,2025-03-08 16:51:11+00:00,6,2025-03-07 10:49:21+00:00,2025-03-07 11:29:21+00:00,2,3,2,3.0,Bech32,4,1.0,3,1 day - 1 week
"34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DCwallet: 45505834Balance:7,453 BTC ($615,001,182) Ins:115 Outs:17",34ovCavd,7453.0,615001182.0,0.03758,2018-11-27 02:42:08+00:00,2025-01-12 23:46:56+00:00,115,2018-11-28 23:30:31+00:00,2024-07-01 00:31:05+00:00,17,2295,57,252.0,SegWit,98,195.0,252,6 months - 12 months
"19tiUa9nsPTgaqWNHaM9QyCfv4Wm9dVeYaBalance:7,441 BTC ($614,005,045) Ins:101 Outs:0",19tiUa9n,7441.0,614005045.0,0.03752,2020-12-21 15:53:02+00:00,2025-01-28 02:33:15+00:00,101,,,0,1540,41,,Legacy,101,,1540,3 years - 5 years
"1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSGBalance:7,441 BTC ($614,005,044) Ins:132 Outs:0",1FZcb6BU,7441.0,614005044.0,0.03752,2020-12-18 17:43:19+00:00,2025-01-27 14:28:19+00:00,132,,,0,1543,42,,Legacy,132,,1543,3 years - 5 years
"19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJBalance:7,441 BTC ($614,005,043) Ins:130 Outs:0",19RtRzXV,7441.0,614005043.0,0.03752,2020-12-17 16:10:28+00:00,2024-12-27 11:13:08+00:00,130,,,0,1544,73,,Legacy,130,,1544,3 years - 5 years
"1C1sUtw6fYa1Yr5wexrH2ayT1ZykD9SobxBalance:7,441 BTC ($614,005,043) Ins:124 Outs:0",1C1sUtw6,7441.0,614005043.0,0.03752,2020-12-19 17:11:23+00:00,2024-12-27 11:13:08+00:00,124,,,0,1542,73,,Legacy,124,,1542,3 years - 5 years
"1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2Balance:7,441 BTC ($614,005,043) Ins:134 Outs:0",1JFUG5K3,7441.0,614005043.0,0.03752,2020-12-18 06:24:18+00:00,2024-12-27 11:13:08+00:00,134,,,0,1543,73,,Legacy,134,,1543,3 years - 5 years
"bc1qzkqmyv57jpuntyc9ydjyrq4hlneevrmr0xe9kzBalance:7,352 BTC ($606,674,691) Ins:78 Outs:76",bc1qzkqm,7352.0,606674691.0,0.03707,2023-02-08 18:15:16+00:00,2025-02-20 21:52:31+00:00,78,2023-03-16 19:44:42+00:00,2025-02-20 16:20:02+00:00,76,761,18,18.0,Bech32,2,0.0,18,1 week - 1 month
"bc1qefquzwru2k8f4m2guh2rs388l9q73qecf0dejmBalance:7,064 BTC ($582,881,423) Ins:107 Outs:79",bc1qefqu,7064.0,582881423.0,0.03562,2024-11-13 12:21:38+00:00,2025-03-04 22:20:38+00:00,107,2024-11-18 12:38:31+00:00,2025-03-03 12:16:03+00:00,79,117,6,7.0,Bech32,28,1.0,7,1 day - 1 week
"13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApHBalance:7,000 BTC ($577,613,796) Ins:25 Outs:0",13eEt6my,7000.0,577613796.0,0.03529,2017-10-17 11:45:49+00:00,2025-03-02 00:43:21+00:00,25,,,0,2701,8,,Legacy,25,,2701,7 years - 10 years
"1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsfBalance:7,000 BTC ($577,602,906) Ins:50 Outs:0",1DzjE3AN,7000.0,577602906.0,0.03529,2011-05-27 16:03:02+00:00,2025-01-27 14:15:16+00:00,50,,,0,5036,42,,Legacy,50,,5036,+10 years
"324rP14bzX8kW1JWt1J8ohZjDFyt2G68KqBalance:7,000 BTC ($577,601,300) Ins:25 Outs:0",324rP14b,7000.0,577601300.0,0.03529,2019-02-16 16:13:01+00:00,2024-12-27 12:08:15+00:00,25,,,0,2214,73,,SegWit,25,,2214,5 years - 7 years
"1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCFBalance:6,999 BTC ($577,520,154) Ins:41 Outs:0",1FJuzzQF,6999.0,577520154.0,0.03529,2010-11-08 16:32:00+00:00,2025-02-20 18:02:52+00:00,41,,,0,5236,18,,Legacy,41,,5236,+10 years
"186XqVoL7TGxR3osoo4xn32wbYtb527raYBalance:6,977 BTC ($575,681,755) Ins:8 Outs:0",186XqVoL,6977.0,575681755.0,0.03518,2021-05-07 04:33:06+00:00,2024-12-27 12:08:15+00:00,8,,,0,1403,73,,Legacy,8,,1403,3 years - 5 years
"36NkTqCAApfRJBKicQaqrdKs29g6hyE4LSwallet: OKExBalance:6,949 BTC ($573,388,567) Ins:835 Outs:809",36NkTqCA,6949.0,573388567.0,0.03504,2021-03-11 00:46:25+00:00,2025-03-08 01:58:21+00:00,835,2021-03-29 21:16:19+00:00,2025-03-06 22:41:00+00:00,809,1460,2,4.0,SegWit,26,2.0,4,1 day - 1 week
"3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyhwallet: OKExBalance:6,896 BTC ($568,994,285) Ins:358 Outs:304",3DVJfEsD,6896.0,568994285.0,0.03477,2019-01-22 17:38:08+00:00,2025-03-04 22:25:58+00:00,358,2019-01-24 20:11:53+00:00,2025-03-04 22:25:58+00:00,304,2239,6,6.0,SegWit,54,0.0,6,1 day - 1 week
"1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ftBalance:6,878 BTC ($567,512,653) Ins:28 Outs:0",1Ac2JdpQ,6878.0,567512653.0,0.03468,2017-07-29 03:55:33+00:00,2024-12-27 12:08:15+00:00,28,,,0,2781,73,,Legacy,28,,2781,7 years - 10 years
"1pChUJ9WQhWtqyt5RtSnLarZYQztZsbziwallet: 107637282Balance:6,804 BTC ($561,440,665) Ins:13 Outs:4",1pChUJ9W,6804.0,561440665.0,0.03431,2024-07-29 06:01:38+00:00,2025-01-28 07:26:42+00:00,13,2024-08-01 15:01:35+00:00,2025-01-27 15:25:55+00:00,4,224,41,42.0,Legacy,9,1.0,42,1 month - 3 months
"bc1qatjx2qc8vxz39m0qdz303z8et2pgmc74xz8km3Balance:6,745 BTC ($556,557,225) Ins:11 Outs:10",bc1qatjx,6745.0,556557225.0,0.03401,2024-12-30 19:31:42+00:00,2025-02-12 20:21:04+00:00,11,2024-12-31 22:17:30+00:00,2025-02-12 20:21:04+00:00,10,70,26,26.0,Bech32,1,0.0,26,1 week - 1 month
"3Nu84pbqfcfaFztQ74qc9ni2PH5HGM1bzS 3-of-5Balance:6,668 BTC ($550,194,354) Ins:76 Outs:31",3Nu84pbq,6668.0,550194354.0,0.03362,2024-04-18 09:15:37+00:00,2025-01-31 06:55:40+00:00,76,2024-04-18 10:00:08+00:00,2025-01-31 06:55:40+00:00,31,326,38,38.0,SegWit,45,0.0,38,1 month - 3 months
"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwalletBalance:6,602 BTC ($544,725,656) Ins:1233 Outs:488",bc1qjh0a,6602.0,544725656.0,0.03328,2021-03-11 14:37:20+00:00,2025-02-26 10:24:04+00:00,1233,2021-04-01 07:16:15+00:00,2025-02-04 16:05:16+00:00,488,1460,12,34.0,Bech32,745,22.0,34,1 month - 3 months
"bc1qrd7t2sl5rdfke32qcryyep6r78vyq703mvggq7Balance:6,517 BTC ($537,785,225) Ins:104 Outs:99",bc1qrd7t,6517.0,537785225.0,0.03286,2024-11-15 20:23:03+00:00,2025-03-07 21:31:29+00:00,104,2024-11-16 16:20:09+00:00,2025-03-03 16:38:28+00:00,99,115,3,7.0,Bech32,5,4.0,7,1 day - 1 week
"1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6Balance:6,512 BTC ($537,332,159) Ins:30 Outs:0",1AYLzYN7,6512.0,537332159.0,0.03283,2011-04-24 00:40:50+00:00,2024-12-27 12:08:15+00:00,30,,,0,5069,73,,Legacy,30,,5069,+10 years
"1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuEBalance:6,507 BTC ($536,942,005) Ins:196 Outs:74",1NpZcfBn,6507.0,536942005.0,0.03281,2014-04-14 18:50:10+00:00,2025-01-27 14:15:16+00:00,196,2014-04-14 18:50:10+00:00,2020-12-03 23:18:39+00:00,74,3983,42,1558.0,Legacy,122,1516.0,1558,3 years - 5 years
"bc1ql7c3k2xw90qmhpntte94mu7mpra6g77nqtj6v7Balance:6,500 BTC ($536,345,149) Ins:3 Outs:0",bc1ql7c3,6500.0,536345149.0,0.03277,2022-11-23 08:45:48+00:00,2024-12-27 12:08:15+00:00,3,,,0,838,73,,Bech32,3,,838,2 years - 3 years
"bc1qrxhrm90p6qccryymrugwknt42je5kv0wd7c50tdhx70fa6yclv8sz6..uvd3Balance:6,500 BTC ($536,345,149) Ins:2 Outs:0",bc1qrxhr,6500.0,536345149.0,0.03277,2024-04-19 12:49:40+00:00,2024-12-27 12:08:15+00:00,2,,,0,325,73,,Bech32,2,,325,6 months - 12 months
"18SN8PV997oDGtYmTPPD55GDaPtNNEGWeuBalance:6,454 BTC ($532,524,222) Ins:138 Outs:107",18SN8PV9,6454.0,532524222.0,0.03254,2019-06-09 14:39:23+00:00,2025-01-29 07:28:12+00:00,138,2019-06-10 12:48:46+00:00,2024-12-18 03:38:50+00:00,107,2101,40,82.0,Legacy,31,42.0,82,1 month - 3 months
"18QCiLiXhko8pb4rqv3mCtC834tSTWHNijBalance:6,406 BTC ($528,628,130) Ins:65 Outs:0",18QCiLiX,6406.0,528628130.0,0.0323,2021-01-04 21:01:57+00:00,2025-01-27 06:22:19+00:00,65,,,0,1526,42,,Legacy,65,,1526,3 years - 5 years
"147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9Balance:6,406 BTC ($528,628,130) Ins:68 Outs:0",147sPaNa,6406.0,528628130.0,0.0323,2021-01-03 01:51:23+00:00,2025-01-28 07:26:42+00:00,68,,,0,1527,41,,Legacy,68,,1527,3 years - 5 years
"bc1qzxwdcxqj36ane625hkgjpg6p0pjg79u29qyrusBalance:6,401 BTC ($528,159,719) Ins:32 Outs:7",bc1qzxwd,6401.0,528159719.0,0.03227,2021-07-25 14:30:01+00:00,2025-01-28 16:07:21+00:00,32,2023-03-29 08:03:14+00:00,2023-03-29 08:03:14+00:00,7,1324,41,712.0,Bech32,25,671.0,712,1 year - 2 years
"1PjPfocmxS262puhYqUwaagE9zBJTZHGwKBalance:6,396 BTC ($527,775,300) Ins:68 Outs:0",1PjPfocm,6396.0,527775300.0,0.03225,2021-01-19 01:12:25+00:00,2025-01-27 05:29:42+00:00,68,,,0,1511,42,,Legacy,68,,1511,3 years - 5 years
"1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcsBalance:6,396 BTC ($527,775,299) Ins:70 Outs:0",1NSbFq6r,6396.0,527775299.0,0.03225,2021-01-19 01:12:25+00:00,2025-01-27 05:46:27+00:00,70,,,0,1511,42,,Legacy,70,,1511,3 years - 5 years
"18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hMBalance:6,389 BTC ($527,203,576) Ins:64 Outs:0",18gYq8Bp,6389.0,527203576.0,0.03221,2021-01-15 01:30:13+00:00,2025-01-28 07:26:42+00:00,64,,,0,1515,41,,Legacy,64,,1515,3 years - 5 years
"16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2Balance:6,389 BTC ($527,203,573) Ins:57 Outs:0",16b8LpbD,6389.0,527203573.0,0.03221,2021-01-15 01:30:13+00:00,2024-12-27 12:38:31+00:00,57,,,0,1515,73,,Legacy,57,,1515,3 years - 5 years
"1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhWBalance:6,389 BTC ($527,203,573) Ins:57 Outs:0",1HmiKJMQ,6389.0,527203573.0,0.03221,2021-01-15 01:30:13+00:00,2024-12-27 12:38:31+00:00,57,,,0,1515,73,,Legacy,57,,1515,3 years - 5 years
"1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSVBalance:6,389 BTC ($527,203,573) Ins:61 Outs:0",1NFPNeet,6389.0,527203573.0,0.03221,2021-01-04 20:50:37+00:00,2024-12-27 12:38:31+00:00,61,,,0,1526,73,,Legacy,61,,1526,3 years - 5 years
"14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbMBalance:6,387 BTC ($527,032,545) Ins:60 Outs:0",14Ngt4ak,6387.0,527032545.0,0.0322,2021-01-15 01:17:51+00:00,2024-12-27 12:38:31+00:00,60,,,0,1515,73,,Legacy,60,,1515,3 years - 5 years
"1MJZLeLbsoSf2kuDr5gAX3QE93BvhvqkCCBalance:6,366 BTC ($525,266,572) Ins:74 Outs:0",1MJZLeLb,6366.0,525266572.0,0.03209,2021-01-20 05:51:48+00:00,2025-01-28 03:11:55+00:00,74,,,0,1510,41,,Legacy,74,,1510,3 years - 5 years
"3DR2iGGQCUhShGhjTqShLAYEqxzAfY8pvZwallet: 71004938Balance:6,359 BTC ($524,675,996) Ins:331 Outs:311",3DR2iGGQ,6359.0,524675996.0,0.03206,2020-12-02 05:49:36+00:00,2025-02-25 07:23:12+00:00,331,2020-12-02 08:11:57+00:00,2025-02-18 05:57:23+00:00,311,1559,13,20.0,SegWit,20,7.0,20,1 week - 1 month
"1JCozFUFS5TBAAbnrr9jRWDVQURo2kGeRqBalance:6,350 BTC ($523,929,462) Ins:63 Outs:0",1JCozFUF,6350.0,523929462.0,0.03201,2021-01-27 18:48:47+00:00,2025-01-28 03:11:55+00:00,63,,,0,1503,41,,Legacy,63,,1503,3 years - 5 years
"1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXkBalance:6,336 BTC ($522,835,019) Ins:84 Outs:0",1DFv3qVA,6336.0,522835019.0,0.03195,2021-01-31 19:04:07+00:00,2025-01-28 03:11:55+00:00,84,,,0,1499,41,,Legacy,84,,1499,3 years - 5 years
"19CkUw43czT8yQctnHXNiB5ivNtibWbzqSBalance:6,326 BTC ($522,001,447) Ins:95 Outs:0",19CkUw43,6326.0,522001447.0,0.0319,2021-02-03 15:20:39+00:00,2025-02-05 01:52:40+00:00,95,,,0,1496,33,,Legacy,95,,1496,3 years - 5 years
"1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJbBalance:6,316 BTC ($521,154,669) Ins:33 Outs:0",1JxmKkNK,6316.0,521154669.0,0.03184,2013-04-25 00:47:34+00:00,2025-01-27 05:13:01+00:00,33,,,0,4337,42,,Legacy,33,,4337,+10 years
"37TTwX8uGwjWApXL8GbwU9p7vHoAupCFcwBalance:6,302 BTC ($520,007,161) Ins:29 Outs:15",37TTwX8u,6302.0,520007161.0,0.03177,2022-01-20 14:22:30+00:00,2025-01-26 10:50:41+00:00,29,2022-03-11 21:59:40+00:00,2024-06-10 15:12:31+00:00,15,1145,43,273.0,SegWit,14,230.0,273,6 months - 12 months
"bc1qg2ayc8hnw8k98q66vw3qjyx55tj7tg2rqcslnaBalance:6,279 BTC ($518,119,732) Ins:128 Outs:125",bc1qg2ay,6279.0,518119732.0,0.03166,2024-11-26 18:30:30+00:00,2025-03-06 12:40:04+00:00,128,2024-11-27 15:19:48+00:00,2025-03-04 16:26:43+00:00,125,104,4,6.0,Bech32,3,2.0,6,1 day - 1 week
"19oLGXykNUBj8f7w1tT9emuaEbaSFj1p27Balance:6,247 BTC ($515,427,963) Ins:293 Outs:270",19oLGXyk,6247.0,515427963.0,0.03149,2019-05-17 03:29:00+00:00,2025-02-27 20:39:37+00:00,293,2019-05-18 03:03:59+00:00,2024-12-27 15:18:02+00:00,270,2124,11,73.0,Legacy,23,62.0,73,1 month - 3 months
"1JtAupan5MSPXxSsWFiwA79bY9LD2Ga1jeBalance:6,230 BTC ($514,085,398) Ins:52 Outs:21",1JtAupan,6230.0,514085398.0,0.03141,2021-12-22 06:17:58+00:00,2025-02-27 08:02:09+00:00,52,2021-12-22 06:21:48+00:00,2025-02-27 08:02:09+00:00,21,1174,11,11.0,Legacy,31,0.0,11,1 week - 1 month
"1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavsBalance:6,200 BTC ($511,590,901) Ins:31 Outs:0",1LBBmkr9,6200.0,511590901.0,0.03126,2013-12-07 03:23:51+00:00,2024-12-27 13:14:58+00:00,31,,,0,4111,73,,Legacy,31,,4111,+10 years
"bc1qfflzlmk8mj97mht8w9aq7w6lwc34xwww2hthy2Balance:6,163 BTC ($508,554,253) Ins:7 Outs:0",bc1qfflz,6163.0,508554253.0,0.03107,2024-11-06 06:26:42+00:00,2024-12-27 13:14:58+00:00,7,,,0,124,73,,Bech32,7,,124,3 months - 6 months
"bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6wallet: Kraken-coldwalletBalance:6,145 BTC ($507,051,601) Ins:1021 Outs:342",bc1qtrxc,6145.0,507051601.0,0.03098,2022-07-24 21:01:08+00:00,2025-03-08 06:44:34+00:00,1021,2023-12-13 17:35:38+00:00,2025-02-04 16:05:16+00:00,342,960,2,34.0,Bech32,679,32.0,34,1 month - 3 months
"32ixEdVJWo3kmvJGMTZq5jAQVZZeuwnqzowallet: 108344879Balance:6,111 BTC ($504,262,077) Ins:669 Outs:502",32ixEdVJ,6111.0,504262077.0,0.03081,2024-03-13 00:06:05+00:00,2025-03-09 21:07:27+00:00,669,2024-10-14 19:08:30+00:00,2024-10-20 17:08:44+00:00,502,362,1,141.0,SegWit,167,140.0,141,3 months - 6 months
"16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnAwallet: OKXBalance:6,101 BTC ($503,421,263) Ins:24 Outs:0",16rF2zwS,6101.0,503421263.0,0.03076,2019-07-12 08:20:54+00:00,2025-01-28 07:27:07+00:00,24,,,0,2068,41,,Legacy,24,,2068,5 years - 7 years
"3QCgxyh9t1XgZD6jQYgmyXQDzBPxWLsH2pBalance:6,096 BTC ($502,977,446) Ins:2 Outs:0",3QCgxyh9,6096.0,502977446.0,0.03073,2024-11-28 18:57:34+00:00,2024-12-27 13:14:58+00:00,2,,,0,102,73,,SegWit,2,,102,3 months - 6 months
"1AkJq3KKGpKQDVRzVYR6SxdzToM47nopdVBalance:6,062 BTC ($500,190,214) Ins:2 Outs:0",1AkJq3KK,6062.0,500190214.0,0.03056,2022-11-16 20:30:27+00:00,2024-12-27 13:14:58+00:00,2,,,0,845,73,,Legacy,2,,845,2 years - 3 years
"1LVYbnSX6f6vE2Zn4zs2oZ4eKyBgzkqaayBalance:6,034 BTC ($497,921,006) Ins:64 Outs:12",1LVYbnSX,6034.0,497921006.0,0.03042,2022-11-30 07:27:47+00:00,2025-03-07 17:07:51+00:00,64,2022-11-30 17:09:01+00:00,2025-01-08 02:25:30+00:00,12,831,3,61.0,Legacy,52,58.0,61,1 month - 3 months
"1J3B2ucUpWjWPPpejUCoLN93Gwz3q65CTdBalance:6,000 BTC ($495,087,880) Ins:19 Outs:0",1J3B2ucU,6000.0,495087880.0,0.03025,2019-07-24 18:35:27+00:00,2024-12-27 13:14:58+00:00,19,,,0,2056,73,,Legacy,19,,2056,5 years - 7 years
"1FY6RL8Ju9b6CGsHTK68yYEcnzUasufyCeBalance:6,000 BTC ($495,087,840) Ins:27 Outs:0",1FY6RL8J,6000.0,495087840.0,0.03025,2020-01-18 06:15:58+00:00,2025-01-28 07:26:42+00:00,27,,,0,1878,41,,Legacy,27,,1878,5 years - 7 years
"1MbNM3jwxMjRzeA9xyHbMyePN68MY4JxbBalance:6,000 BTC ($495,087,840) Ins:29 Outs:0",1MbNM3jw,6000.0,495087840.0,0.03025,2020-02-23 09:59:41+00:00,2025-01-28 07:26:42+00:00,29,,,0,1842,41,,Legacy,29,,1842,5 years - 7 years
"178E8tYZ5WJ6PpADdpmmZd67Se7uPhJCLXBalance:6,000 BTC ($495,087,839) Ins:28 Outs:0",178E8tYZ,6000.0,495087839.0,0.03025,2020-02-23 09:39:37+00:00,2025-01-28 07:27:07+00:00,28,,,0,1842,41,,Legacy,28,,1842,5 years - 7 years
"1BsdDaJtgFZrLfzEXvh6cD4VhtHHSHhMeaBalance:6,000 BTC ($495,087,839) Ins:26 Outs:0",1BsdDaJt,6000.0,495087839.0,0.03025,2020-02-23 09:59:41+00:00,2025-01-28 07:26:42+00:00,26,,,0,1842,41,,Legacy,26,,1842,5 years - 7 years
"1Lj2mCPJYbbC2X6oYwV6sXnE8CZ4heK5UDBalance:6,000 BTC ($495,087,837) Ins:23 Outs:0",1Lj2mCPJ,6000.0,495087837.0,0.03025,2020-02-23 09:59:41+00:00,2025-01-28 07:26:42+00:00,23,,,0,1842,41,,Legacy,23,,1842,5 years - 7 years
"1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXMBalance:5,970 BTC ($492,595,919) Ins:91 Outs:0",1HvZQX9X,5970.0,492595919.0,0.0301,2021-02-03 22:09:51+00:00,2025-01-28 07:27:07+00:00,91,,,0,1496,41,,Legacy,91,,1496,3 years - 5 years
"1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDABalance:5,965 BTC ($492,184,100) Ins:81 Outs:0",1FvkWMMH,5965.0,492184100.0,0.03007,2021-02-04 17:39:41+00:00,2025-01-28 07:26:42+00:00,81,,,0,1495,41,,Legacy,81,,1495,3 years - 5 years
"19dNe9Xg6JWvszgU3NuM6TNd2wHmANPbHBBalance:5,950 BTC ($490,955,284) Ins:21 Outs:11",19dNe9Xg,5950.0,490955284.0,0.03,2024-01-09 21:29:52+00:00,2025-02-27 21:15:04+00:00,21,2024-01-10 15:49:17+00:00,2025-02-27 20:39:37+00:00,11,426,11,11.0,Legacy,10,0.0,11,1 week - 1 month
"138EMxwMtKuvCEUtm4qUfT2x344TSReyiTBalance:5,908 BTC ($487,460,425) Ins:26 Outs:0",138EMxwM,5908.0,487460425.0,0.02978,2017-12-14 19:38:10+00:00,2024-12-27 13:27:42+00:00,26,,,0,2643,73,,Legacy,26,,2643,7 years - 10 years
"1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadvBalance:5,887 BTC ($485,800,409) Ins:83 Outs:0",1D3mERfH,5887.0,485800409.0,0.02968,2021-02-05 11:33:31+00:00,2025-01-27 05:29:42+00:00,83,,,0,1494,42,,Legacy,83,,1494,3 years - 5 years
"14UeyAD9rQCSJgdJzuzFgShq84gW62BsatBalance:5,869 BTC ($484,311,429) Ins:86 Outs:0",14UeyAD9,5869.0,484311429.0,0.02959,2021-02-05 10:39:48+00:00,2025-01-28 07:26:42+00:00,86,,,0,1494,41,,Legacy,86,,1494,3 years - 5 years
