Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,970,561,942) Ins:54 Outs:0",bc1q7ydr,36000.0,2970561942.0,0.1815,2021-07-27 13:54:25+00:00,2025-02-26 10:24:04+00:00,54,,,0,1322,12,,Bech32,54,,1322,3 years - 5 years
"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,910,890,584) Ins:85 Outs:3",bc1qk4m9,35277.0,2910890584.0,0.1779,2024-05-23 09:15:16+00:00,2024-12-26 11:53:46+00:00,85,2024-06-04 08:05:52+00:00,2024-06-19 09:02:55+00:00,3,291,74,264.0,Bech32,82,190.0,264,6 months - 12 months
"bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xssz..ghzk 30d:+5000 BTCBalance:35,000 BTC ($2,888,012,340) Ins:8 Outs:0",bc1q8taf,35000.0,2888012340.0,0.1765,2024-12-31 23:12:10+00:00,2025-02-28 06:48:08+00:00,8,,,0,69,10,,Bech32,8,,69,1 month - 3 months
"bc1qzwhw94uldd3c8736lsxrda6t6x56030f8zk8nr 30d:-900 BTCBalance:33,556 BTC ($2,768,901,072) Ins:51 Outs:45",bc1qzwhw,33556.0,2768901072.0,0.1692,2024-06-06 09:04:23+00:00,2025-02-22 18:44:04+00:00,51,2024-09-27 18:55:36+00:00,2025-02-17 11:28:04+00:00,45,277,16,21.0,Bech32,6,5.0,21,1 week - 1 month
"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($2,666,955,801) Ins:59 Outs:10",12XqeqZR,32321.0,2666955801.0,0.163,2020-12-13 13:01:48+00:00,2025-02-26 10:24:04+00:00,59,2022-04-12 05:39:04+00:00,2022-04-23 12:41:04+00:00,10,1548,12,1052.0,Legacy,49,1040.0,1052,2 years - 3 years
"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($2,611,043,825) Ins:4762 Outs:1",bc1qx9t2,31643.0,2611043825.0,0.1595,2020-05-12 00:57:43+00:00,2025-02-26 10:24:04+00:00,4762,2020-07-20 02:53:29+00:00,2020-07-20 02:53:29+00:00,1,1763,12,1694.0,Bech32,4761,1682.0,1694,3 years - 5 years
"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($2,580,674,390) Ins:46 Outs:0",3FHNBLob,31275.0,2580674390.0,0.1577,2021-07-26 14:25:53+00:00,2025-02-27 06:02:23+00:00,46,,,0,1323,11,,SegWit,46,,1323,3 years - 5 years
"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($2,557,959,937) Ins:185 Outs:4",12ib7dAp,31000.0,2557959937.0,0.1563,2010-05-13 08:22:38+00:00,2025-03-07 14:04:36+00:00,185,2010-06-02 10:57:07+00:00,2010-07-24 23:35:23+00:00,4,5415,3,5343.0,Legacy,181,5340.0,5343,+10 years
"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($2,322,874,481) Ins:166 Outs:0",12tkqA9x,28151.0,2322874481.0,0.1419,2010-04-05 22:47:07+00:00,2025-01-09 00:50:26+00:00,166,,,0,5453,60,,Legacy,166,,5453,+10 years
"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:26,984 BTC ($2,226,536,993) Ins:87 Outs:59",3EMVdMeh,26984.0,2226536993.0,0.136,2019-02-01 15:46:33+00:00,2025-02-07 10:20:46+00:00,87,2020-08-15 16:55:25+00:00,2025-01-14 13:14:14+00:00,59,2229,31,55.0,SegWit,28,24.0,55,1 month - 3 months
"bc1q7uq3u829ahn22sdlpac0h0lurq3a9yfd3ew69f 7d:+229.71 BTC / 30d:+1779 BTCBalance:26,748 BTC ($2,207,085,726) Ins:20 Outs:4",bc1q7uq3,26748.0,2207085726.0,0.1349,2024-11-28 20:53:03+00:00,2025-03-07 15:43:26+00:00,20,2024-12-16 19:34:04+00:00,2024-12-16 19:34:04+00:00,4,102,3,84.0,Bech32,16,81.0,84,1 month - 3 months
"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($2,156,881,842) Ins:15 Outs:2",39eYrpgA,26139.0,2156881842.0,0.1318,2023-12-07 12:47:21+00:00,2025-01-09 04:13:40+00:00,15,2024-03-14 13:30:52+00:00,2025-01-07 16:48:47+00:00,2,459,60,62.0,SegWit,13,2.0,62,1 month - 3 months
